"","IaStar","EaStar"
"1397",6.20833690862829e-06,4.49695035752266e-06
"1398",6.77639226571734e-06,5.49623516196296e-06
"1399",8.86226238946885e-06,6.87207925381645e-06
"1400",8.11171892329032e-06,6.55340382783576e-06
"1401",3.52361509155656e-06,3.00932081892342e-06
"1402",5.11380995332212e-06,3.98516446532543e-06
"1403",9.24447887267408e-06,7.00138239120667e-06
"1404",5.34864968625825e-06,3.93562636559551e-06
"1405",4.62940394820542e-06,3.44486298931666e-06
"1406",8.83692882883229e-06,6.44690614039889e-06
"1407",7.75685690324289e-06,6.11870787346926e-06
"1408",1.02989762056987e-05,7.28251601642282e-06
"1409",8.42831425620865e-06,5.86987251845447e-06
"1410",6.04888080241224e-06,4.47700408541177e-06
"1411",5.42054199460486e-06,4.48258603763933e-06
"1412",6.56075784146417e-06,5.09475218661246e-06
"1413",1.14582869087514e-05,8.56817912654405e-06
"1414",3.43128386619886e-06,2.75982067597563e-06
"1415",5.01619156477134e-06,3.78324208486691e-06
"1416",5.53427681961796e-06,4.23458432652284e-06
"1417",1.10279337678721e-05,8.53701783389154e-06
"1418",3.60651047436932e-06,2.98336494765487e-06
"1419",2.93136166077687e-06,2.45914232476438e-06
"1420",2.57116534730432e-06,2.15546371906263e-06
"1421",5.79087308043905e-06,4.75474820232071e-06
"1422",4.32940908414235e-06,3.40627556080637e-06
"1423",2.37670439853265e-06,2.07920094194749e-06
"1424",1.92293246590908e-06,1.70266510624463e-06
"1425",3.07903699031135e-06,2.5895111448186e-06
"1426",6.80526472159302e-06,5.17379161375649e-06
"1427",1.26337638208388e-05,9.15082829824006e-06
"1428",3.87504576455927e-06,3.02247586171969e-06
"1429",1.07064082870033e-05,7.97693561023492e-06
"1430",4.60840108693645e-06,3.61321426858223e-06
"1431",9.33259742788552e-06,6.9552994542454e-06
"1432",8.8179543759893e-06,7.21204831317606e-06
"1433",1.99554343807985e-06,1.78650512874438e-06
"1434",5.20563276618642e-06,4.26987650316951e-06
"1435",7.73890799237437e-06,6.25422258956689e-06
"1436",6.60779535975252e-06,5.10392018172798e-06
"1437",1.22878332564572e-06,1.09934838516868e-06
"1438",7.05519718814827e-06,5.41010244877526e-06
"1439",2.24156658100328e-06,1.89148408057372e-06
"1440",3.46654308335226e-06,2.96658148722301e-06
"1441",4.59328157356759e-06,3.57533809491901e-06
"1442",1.67279064140616e-05,1.07829805764439e-05
"1443",4.16130787332415e-06,3.14257210613452e-06
"1444",3.50415281901615e-06,2.77967190910966e-06
"1445",1.00166672884789e-05,7.14765929201696e-06
"1446",7.03878794926277e-06,5.02635398304842e-06
"1447",8.29057194623176e-06,6.77395194669908e-06
"1448",1.17461122364908e-05,7.7446028017454e-06
"1449",1.16358943597344e-05,9.09913958668325e-06
"1450",7.89352402382028e-06,5.98313078767646e-06
"1451",8.48147994007479e-06,6.28072863247147e-06
"1452",7.62102141244666e-06,5.89608304353451e-06
"1453",8.70965452812891e-06,6.73458530575037e-06
"1454",6.05033964285016e-06,4.73534492352774e-06
"1455",3.06713205983682e-06,2.38195930244152e-06
"1456",1.32567862455092e-05,9.88883334994712e-06
"1457",4.26827651184635e-06,3.34303169767591e-06
"1458",2.64816863861611e-06,2.23637128639803e-06
"1459",6.6213468049203e-06,5.32477800399849e-06
"1460",2.02887741454494e-06,1.72663242394774e-06
"1461",1.06969227887498e-05,8.10516903208272e-06
"1462",5.40383049060998e-06,4.32179711297057e-06
"1463",3.80690068720534e-06,3.02888024966871e-06
"1464",9.97055880600446e-06,7.34681020961362e-06
"1465",8.59875172559135e-06,6.30884491016944e-06
"1466",3.84741988056256e-06,3.36350457395029e-06
"1467",8.01114098082643e-06,5.87418186598393e-06
"1468",2.53197076815605e-06,2.07496807493348e-06
"1469",8.39684090742706e-06,6.36574516683924e-06
"1470",6.33906094536642e-06,4.57604986534915e-06
"1471",1.74498553124576e-05,1.22937779952178e-05
"1472",6.57816404410549e-06,4.71989556538737e-06
"1473",8.00224770122545e-06,5.51217226673756e-06
"1474",4.07332452107876e-06,2.97695470607978e-06
"1475",3.92117127088137e-06,3.21835228268068e-06
"1476",1.28789937772819e-05,9.58100918309847e-06
"1477",5.363396667668e-06,4.64342479754012e-06
"1478",1.6093609798622e-05,1.22705506951511e-05
"1479",1.34941909334953e-05,9.83144820818101e-06
"1480",6.9839112229341e-06,5.28867523253013e-06
"1481",6.93239993757676e-06,5.15472067400326e-06
"1482",5.2684456263232e-06,3.9514631323189e-06
"1483",8.29602055405667e-06,6.41696093395045e-06
"1484",6.49346856521364e-06,5.02968686200714e-06
"1485",5.66302007809411e-06,4.58161524719141e-06
"1486",3.08099486344167e-06,2.45711357819839e-06
"1487",4.79219588743685e-06,3.88177890714327e-06
"1488",5.55121034363156e-06,4.3133177686053e-06
"1489",9.25647614407784e-06,6.79536774286454e-06
"1490",5.6477271523792e-06,4.47782741961259e-06
"1491",5.19051586406157e-06,4.1056040901398e-06
"1492",7.17827621042417e-06,5.39691303081525e-06
"1493",5.92062430625053e-06,4.45552854960487e-06
"1494",2.64535094752014e-06,2.18923571105538e-06
"1495",6.45964039917916e-06,5.43715714905612e-06
"1496",6.31591091982434e-06,4.90202404043513e-06
"1497",4.38450912452442e-06,3.29870565941064e-06
"1498",2.98937929565063e-06,2.57238321792191e-06
"1499",1.25999630812752e-05,9.0215724856723e-06
"1500",1.02297018389894e-05,7.46425396414681e-06
"1501",5.59101923129007e-06,4.55103180553948e-06
"1502",7.59074344307693e-06,5.5344226914208e-06
"1503",4.28689184378344e-06,3.49967015029224e-06
"1504",4.86781074515203e-06,3.5459192679758e-06
"1505",6.09951199682608e-06,4.86416541122382e-06
"1506",4.99515591553904e-06,3.80639041413067e-06
"1507",4.60157641028644e-06,3.75611079110815e-06
"1508",1.97125211178467e-06,1.65792229136545e-06
"1509",3.5559570307852e-06,2.72279096285167e-06
"1510",3.88105124515791e-06,3.11042803881249e-06
"1511",1.57050646172479e-05,1.09056247753641e-05
"1512",6.1907695637111e-06,4.69429267085141e-06
"1513",8.40304868008001e-06,6.02796460357497e-06
"1514",3.75304875262477e-06,2.92945249231198e-06
"1515",7.36939142138651e-06,5.6740203417919e-06
"1516",7.4866681971622e-06,5.68643856763876e-06
"1517",6.99465526395042e-06,5.32797436326342e-06
"1518",3.42884876845389e-06,2.81007478310317e-06
"1519",8.38412856736436e-06,6.39978292723288e-06
"1520",1.78935746230929e-06,1.56246448855749e-06
"1521",7.90148052416905e-06,5.45611311452798e-06
"1522",3.26174341627933e-06,2.57116205673155e-06
"1523",1.62868250968274e-06,1.44986828586575e-06
"1524",1.66576236108752e-05,1.19998080908151e-05
"1525",7.75986704066507e-06,5.7001961220608e-06
"1526",7.23664638272475e-06,5.44277567738676e-06
"1527",6.42153971438029e-06,4.97692771023586e-06
"1528",1.07935418833572e-05,8.19640040790079e-06
"1529",6.89450215109312e-06,5.16545709483235e-06
"1530",2.1866265927023e-06,1.91949841029468e-06
"1531",6.49031402713072e-06,5.03980334807405e-06
"1532",1.42181238696658e-06,1.17640974673935e-06
"1533",2.02010759274407e-05,1.32026213236448e-05
"1534",4.32173407550538e-06,3.58472815094321e-06
"1535",3.76550919161829e-06,3.16318754463178e-06
"1536",3.47328144971379e-06,2.59902589743031e-06
"1537",6.32993815165475e-06,4.81089490410017e-06
"1538",7.11441211363724e-06,6.12878986980638e-06
"1539",7.056973468147e-06,5.45216778526144e-06
"1540",5.94541139188488e-06,4.90122787487748e-06
"1541",2.76849672092611e-06,2.21480813846463e-06
"1542",6.67682189880557e-06,5.0952334320001e-06
"1543",6.3666235441935e-06,4.81903357294806e-06
"1544",6.8036565956783e-06,4.82369126028668e-06
"1545",1.28371619399185e-05,8.75483738948738e-06
"1546",4.56803048542946e-06,3.51528133884628e-06
"1547",4.5553316358333e-06,3.57042034415842e-06
"1548",4.36337832201857e-06,3.26111254570099e-06
"1549",3.37600179636789e-06,2.70845198928865e-06
"1550",3.61023580658201e-06,2.86705805052891e-06
"1551",1.21430444931388e-05,9.16432057849862e-06
"1552",4.76401909584645e-06,3.68258064646503e-06
"1553",2.76190486915698e-06,2.31741704252283e-06
"1554",6.74611286215859e-06,5.30264149182284e-06
"1555",5.42002917957332e-06,4.3976144671141e-06
"1556",3.62331296699236e-06,2.87958376603204e-06
"1557",3.14566098503807e-06,2.72118566082688e-06
"1558",3.07848159815243e-06,2.38753640501277e-06
"1559",9.81207633606226e-06,7.12749917564506e-06
"1560",6.61742282823623e-06,4.95831663507338e-06
"1561",3.791435938955e-06,2.96563758809411e-06
"1562",7.37823130269828e-06,5.59242684046579e-06
"1563",5.6960753735396e-06,4.34380492142378e-06
"1564",5.49981651303815e-06,4.42219309022529e-06
"1565",5.98579672997877e-06,4.40232905172923e-06
"1566",1.52385426393375e-05,1.05139930074952e-05
"1567",3.4304545726318e-06,3.03217331044238e-06
"1568",5.28871751564408e-06,4.18936319016035e-06
"1569",3.5043795573743e-06,2.8912674526783e-06
"1570",8.65496330690761e-06,6.54316755410906e-06
"1571",6.11563472071597e-06,4.74040216751685e-06
"1572",9.98699325645973e-06,6.80572315216543e-06
"1573",5.26637485014219e-06,4.15102361347573e-06
"1574",5.3061880460881e-06,4.21206965546709e-06
"1575",1.04703117484286e-05,7.64212885879652e-06
"1576",7.61160405168449e-06,5.67983777108868e-06
"1577",4.78423151698621e-06,4.02781492239108e-06
"1578",4.68502667397278e-06,3.71936694106734e-06
"1579",5.33769798876678e-06,4.04979566702308e-06
"1580",5.77068520067549e-06,4.55176581264273e-06
"1581",8.39037671868274e-06,5.97293397511598e-06
"1582",3.38287399107779e-06,2.81435361816176e-06
"1583",1.06765618609485e-05,7.37055394374347e-06
"1584",7.76084854927202e-06,5.63278336661588e-06
"1585",9.21846197507447e-06,7.41796180777657e-06
"1586",4.45004523260911e-06,3.69719328658417e-06
"1587",1.7611064952042e-05,1.2273547205272e-05
"1588",7.56702486835695e-06,6.05905696462582e-06
"1589",5.74892931561207e-06,4.52664344775758e-06
"1590",5.00970740223108e-06,3.85211657267793e-06
"1591",5.87470076299888e-06,4.3586635857544e-06
"1592",6.62718292018748e-06,4.85129136950907e-06
"1593",2.83292815576485e-06,2.20391397375369e-06
"1594",3.12234490275125e-06,2.60377556728999e-06
"1595",9.70956183234084e-06,6.85781291616047e-06
"1596",4.87787780643647e-06,3.53103776753899e-06
"1597",2.68010072171405e-06,2.30385006516077e-06
"1598",1.08492479819617e-05,7.78398953307302e-06
"1599",1.90807971725678e-05,1.26888917673577e-05
"1600",6.97309132233518e-06,5.37939667347417e-06
"1601",4.8236004027981e-06,3.79866753548516e-06
"1602",8.27123345770847e-06,6.37896685849871e-06
"1603",6.19899882991893e-06,4.53326346622609e-06
"1604",3.46837033751647e-06,2.73115659774257e-06
"1605",1.03372822441037e-05,7.8793722788393e-06
"1606",2.95513395482605e-06,2.41698475055426e-06
"1607",5.16316446195642e-06,4.05486984175954e-06
"1608",3.80166626058762e-06,3.06251854676321e-06
"1609",6.37789627055452e-06,5.01669662855046e-06
"1610",5.9637172653169e-06,4.71579996089805e-06
"1611",6.17187287846994e-06,4.99377588215213e-06
"1612",3.09133295746926e-05,2.09190489117367e-05
"1613",5.94166920439974e-06,4.73180725495377e-06
"1614",1.05486817522796e-05,7.50916452648278e-06
"1615",3.56168164180504e-06,2.80829107687025e-06
"1616",3.70168520513933e-06,3.11016873317015e-06
"1617",9.0175218290754e-06,6.76157795419829e-06
