"","Ia",""
"357",4.7765246023731e-05,6.76577423551345e-05
"358",3.54751130927742e-05,5.02493141444082e-05
"359",6.18784367465166e-05,8.76484924938409e-05
"360",3.56119605480546e-05,5.04431540224823e-05
"361",7.36864216589023e-05,0.0001043740304047
"362",2.0403264810035e-05,2.89008329641508e-05
"363",3.97771716582851e-05,5.63429899904432e-05
"364",3.63923867176426e-05,5.1548601753342e-05
"365",3.55225251055812e-05,5.03164716867623e-05
"366",2.62311584577849e-05,3.71557207518796e-05
"367",2.59992533350984e-05,3.68272335226854e-05
"368",2.63840314694909e-05,3.7372261168633e-05
"369",3.95698309218928e-05,5.6049298760483e-05
"370",5.19442668562567e-05,7.35771495493453e-05
"371",3.62590000663943e-05,5.1359616381481e-05
"372",2.93646049690676e-05,4.15940846611026e-05
"373",4.33624621703414e-05,6.14213887283165e-05
"374",3.27453737370139e-05,4.63827799247239e-05
"375",4.77460812372303e-05,6.76305961394703e-05
"376",3.25430952144291e-05,4.60962588018948e-05
"377",3.20718665576701e-05,4.54287783338012e-05
"378",3.29978974905388e-05,4.67404718280793e-05
"379",3.55038001833783e-05,5.02899484560069e-05
"380",1.61646429374108e-05,2.28971264631817e-05
"381",2.39258563863129e-05,3.38904058502323e-05
"382",2.11251216007908e-05,2.9923329042573e-05
"383",4.36907389928715e-05,6.18863810981634e-05
"384",2.97445890139666e-05,4.2132320695649e-05
"385",2.09739102521248e-05,2.97091411248226e-05
"386",3.27044828574539e-05,4.63248592883884e-05
"387",6.25440265460554e-05,8.85912754206565e-05
"388",2.9134952052242e-05,4.12687881731595e-05
"389",6.18329034511079e-05,8.75839962923275e-05
"390",4.33227951460598e-05,6.13652018078867e-05
"391",2.03665521548708e-05,2.8848830200135e-05
"392",2.6219273191576e-05,3.71388855991472e-05
"393",2.11933791351612e-05,3.00200145027259e-05
"394",2.92666886370889e-05,4.14553891054574e-05
"395",3.28814918655105e-05,4.65755869447605e-05
"396",4.36943135156274e-05,6.18914442816921e-05
"397",1.80065850149649e-05,2.55060883422385e-05
"398",3.23620596635172e-05,4.58398276768636e-05
"399",4.00339286995879e-05,5.67066772528902e-05
"400",2.3574515679638e-05,3.33927401856831e-05
"401",2.12525769576076e-05,3.01038670572773e-05
"402",1.56797921252793e-05,2.22103379526722e-05
"403",3.96705163863617e-05,5.61919164461226e-05
"404",3.62659804450351e-05,5.13695038431742e-05
"405",3.63480457022246e-05,5.14857941834023e-05
"406",3.62164074174826e-05,5.12992846266528e-05
"407",3.61868872348619e-05,5.12574703202088e-05
"408",3.59521231448718e-05,5.09249830521854e-05
"409",1.85524201670351e-05,2.62792565536772e-05
"410",3.99776702327331e-05,5.6626989330641e-05
"411",3.62571946092779e-05,5.1357059014753e-05
"412",2.60902634112979e-05,3.69561467930758e-05
"413",2.10788273731062e-05,2.98577541752522e-05
"414",4.31917852079414e-05,6.1179630918296e-05
"415",3.93538839569341e-05,5.57434173368049e-05
"416",2.65352449386318e-05,3.75864508984805e-05
"417",2.30333931961553e-05,3.26262531919846e-05
"418",3.58025160953462e-05,5.0713069631018e-05
"419",5.216218699717e-05,7.38858254038344e-05
"420",1.7570806652176e-05,2.48888140471909e-05
"421",1.85762739865418e-05,2.63130451693461e-05
"422",4.00187409831873e-05,5.66851643763915e-05
"423",3.27328641705534e-05,4.63650605198666e-05
"424",5.71184393113892e-05,8.09061518155471e-05
"425",2.63779516029315e-05,3.73636492048685e-05
"426",1.79346932847674e-05,2.54042546605644e-05
"427",5.67243622881201e-05,8.0347956394323e-05
"428",4.32169099366518e-05,6.12152191975538e-05
"429",3.9795536231037e-05,5.636900277929e-05
"430",3.99249464881697e-05,5.65523079774953e-05
"431",6.22450255918786e-05,8.81677518123001e-05
"432",2.66118068868773e-05,3.7694898786638e-05
"433",5.24870515507764e-05,7.43459840781463e-05
"434",3.25992055847334e-05,4.61757373647786e-05
"435",2.62978135711138e-05,3.7250135886805e-05
"436",3.56220442035863e-05,5.04574371858593e-05
"437",2.34811544018403e-05,3.32604961797402e-05
"438",3.26016118630886e-05,4.61791457818795e-05
"439",3.98166343679244e-05,5.6398887568092e-05
"440",2.61119526667384e-05,3.69868690269861e-05
"441",3.6404778080185e-05,5.15661537052479e-05
"442",1.61319623512417e-05,2.2850834587681e-05
"443",3.25765828843556e-05,4.61436930259969e-05
"444",2.36175282520157e-05,3.34536664605359e-05
"445",2.96093991237568e-05,4.19408282596043e-05
"446",8.64105572790157e-05,0.000122397265884109
"447",5.19535647096092e-05,7.3590319616243e-05
"448",3.63734661636238e-05,5.15218014194074e-05
