"","IaStar1","EaStar1"
"3920",3.19644559483694e-05,1.90973021383116e-05
"3921",1.8992254632398e-05,1.13872949546277e-05
"3922",3.37563888891446e-05,2.00821583809782e-05
"3923",1.49900857068826e-05,9.90413496205905e-06
"3924",1.31813100959713e-05,8.75868388163961e-06
"3925",2.59142074846672e-05,1.69528256178096e-05
"3926",3.36434396064929e-05,2.15646384796544e-05
"3927",3.16407713587442e-06,2.51522764435536e-06
"3928",1.58751408622902e-05,9.77857904547597e-06
"3929",7.06165766793533e-06,4.9827505621069e-06
"3930",1.53772042420907e-05,1.00765755814623e-05
"3931",1.73444462612123e-05,1.11844422902777e-05
"3932",1.51778777133462e-05,9.08693339770155e-06
"3933",1.21231723735851e-05,7.9083933144517e-06
"3934",9.49786716893457e-06,6.57143518174224e-06
"3935",2.35734024129361e-05,1.41103028895558e-05
"3936",1.89303989441357e-05,1.17308439332866e-05
"3937",1.40790839835297e-05,9.36871681776467e-06
"3938",3.76121100709666e-06,2.65975839627256e-06
"3939",1.45493520045749e-05,9.14596299248853e-06
"3940",2.24577016877838e-05,1.46765120983888e-05
"3941",8.30882284032315e-06,5.53131829149469e-06
"3942",1.13336991611066e-05,7.36355736050275e-06
"3943",4.07463277095654e-06,2.86932727269474e-06
"3944",2.36426258986929e-06,1.75854364299653e-06
"3945",5.26199420458806e-06,3.52696186126923e-06
"3946",1.55809426200185e-05,1.05902569116057e-05
"3947",1.01907982034278e-05,6.59876040099062e-06
"3948",7.90294990917391e-06,5.57120405176959e-06
"3949",6.79892306056914e-06,4.67444647159178e-06
"3950",8.33929338332068e-06,5.57461987882072e-06
"3951",9.12362957162101e-06,6.7253329402877e-06
"3952",7.16769589550012e-06,4.8598562954921e-06
"3953",1.12694618675074e-05,7.22676163820082e-06
"3954",1.23579341320511e-05,7.87891479973851e-06
"3955",1.82575609400062e-05,1.19029052171258e-05
"3956",1.29239587565409e-05,8.41000118015805e-06
"3957",5.27458060593514e-06,3.52582269607638e-06
"3958",7.50664884095146e-06,5.26767720241266e-06
"3959",6.72312957260134e-06,4.56565560471757e-06
"3960",6.80110734242445e-06,4.74051718166632e-06
"3961",1.26237718583735e-05,8.16664408756316e-06
"3962",1.22609105626625e-05,8.05199413920004e-06
"3963",7.94805896851887e-06,5.5874674708163e-06
"3964",1.44039607485872e-05,8.73561061031209e-06
"3965",8.1445500247425e-06,5.81934509596559e-06
"3966",2.44439814346233e-06,1.94819575704261e-06
"3967",1.29097373433208e-05,8.27558593310666e-06
"3968",1.16783954142867e-05,8.30117767642886e-06
"3969",6.51495329985853e-06,4.62075733668356e-06
"3970",1.61174408715554e-05,1.07094646778066e-05
"3971",1.3561979765022e-05,8.5414862275592e-06
"3972",3.00005897014096e-05,1.80097405702535e-05
"3973",1.31321563154796e-05,8.95722758755147e-06
"3974",1.18566161788118e-05,7.82743347229816e-06
"3975",1.32233838426916e-05,8.11971377094371e-06
"3976",2.52700328505072e-05,1.49197037913906e-05
"3977",1.8619120660469e-05,1.15594873483411e-05
"3978",5.73474264531788e-06,4.03661964668318e-06
"3979",1.61976299702022e-05,9.95567097595162e-06
"3980",9.44933226647028e-06,6.17249787283531e-06
"3981",6.33628985417675e-06,4.36158923789457e-06
"3982",3.14995555064141e-05,1.76986987979259e-05
"3983",9.84714093571475e-06,6.63135581584477e-06
"3984",8.91112793579466e-06,5.89596370873203e-06
"3985",2.1891494446309e-05,1.27308751580369e-05
"3986",1.97756416648822e-05,1.23339164514359e-05
"3987",1.4810632028378e-05,9.43090760085504e-06
"3988",2.69947487460144e-05,1.69628288864953e-05
"3989",1.13426881919195e-05,7.19367400380782e-06
"3990",1.73521989822238e-05,1.13619272642084e-05
"3991",5.42711829168145e-06,3.80801875908682e-06
"3992",1.41671897547711e-05,9.25948056341204e-06
"3993",1.53086509095311e-05,9.68493546939619e-06
"3994",8.23743686867071e-06,5.71083794125154e-06
"3995",4.46051305143396e-06,3.1739584024741e-06
"3996",8.27635865093215e-06,5.40378013651354e-06
"3997",7.39352184446398e-06,5.20360636783327e-06
"3998",2.85508047226458e-05,1.88038277262639e-05
"3999",1.22684048992798e-05,7.94036486919583e-06
"4000",3.74251592832688e-05,2.3152975871066e-05
"4001",1.17704591886478e-05,7.17369456296281e-06
"4002",5.46944764781041e-06,3.81993059072491e-06
"4003",8.48571970326934e-06,5.83954661041764e-06
"4004",2.43126949687228e-05,1.46051706114781e-05
"4005",3.16215493619784e-05,1.81807961938985e-05
"4006",1.24032127253654e-05,8.54820992259514e-06
"4007",1.22391939943466e-05,7.32264730489254e-06
"4008",7.64173167696806e-06,5.70806951862534e-06
"4009",2.47269588889013e-06,1.88260752829439e-06
"4010",5.9330004949521e-06,4.3452766160588e-06
"4011",2.15049809483962e-05,1.30011133352998e-05
"4012",2.6735349458286e-05,1.60259247652545e-05
"4013",9.98397358309589e-06,6.5766466248754e-06
"4014",1.02772354344769e-05,6.86040075873693e-06
"4015",1.7062591150613e-05,1.11464678526271e-05
"4016",1.18401051305963e-05,7.76262525944163e-06
"4017",2.95266844890343e-05,1.86998243900944e-05
"4018",7.18588980649937e-06,5.39295498611777e-06
"4019",1.54105767610723e-05,9.75727564285523e-06
"4020",7.5642937638783e-06,5.1016050703659e-06
"4021",1.00401865370349e-05,6.4408410212323e-06
"4022",2.42297678613709e-05,1.51000364954955e-05
"4023",1.69891064861818e-05,1.0701433000805e-05
"4024",2.50204329931471e-05,1.45732633550527e-05
"4025",1.7790259091887e-05,1.16510385676216e-05
"4026",1.03373069538043e-05,6.88372402359913e-06
"4027",6.92385537891674e-06,4.70937605889875e-06
"4028",4.98701807707238e-06,3.63581033603319e-06
"4029",2.32812676043265e-05,1.37100786750304e-05
"4030",1.1140653645307e-05,7.06417921452537e-06
"4031",2.31792059238791e-05,1.3664062240555e-05
"4032",1.44188458548891e-05,9.71521883619494e-06
"4033",1.88588572606323e-06,1.49225143026655e-06
"4034",5.71225058676076e-06,4.02274836461243e-06
"4035",1.13906487298262e-05,7.31734941289983e-06
"4036",6.30190187447527e-06,4.58965295040473e-06
"4037",1.00866076644429e-05,6.57958363904416e-06
"4038",1.26585475231864e-05,8.54759722094907e-06
"4039",1.56071235195576e-05,1.02425815325248e-05
"4040",8.37369628748721e-06,5.59831035508359e-06
"4041",8.26689073351738e-06,5.78015459322762e-06
"4042",2.11763198903233e-05,1.28014605219039e-05
"4043",2.91847161981116e-06,2.25082151118966e-06
"4044",1.13671971556121e-05,7.31227881924493e-06
"4045",1.20621049840374e-05,8.19539207802604e-06
"4046",5.29563347609235e-06,4.13374285319348e-06
"4047",1.57472353730086e-05,1.03335651809889e-05
"4048",1.06903882242296e-05,6.7565816906819e-06
"4049",2.0326712669943e-06,1.57563018378038e-06
"4050",1.96154581176227e-05,1.2070560799914e-05
"4051",8.82138453573638e-06,5.87679933812554e-06
"4052",1.13135087617213e-05,7.22312824255094e-06
"4053",1.20948222982105e-05,7.95048636548407e-06
"4054",1.28362248856422e-05,8.35094690377951e-06
"4055",1.0115139592781e-05,6.21223043750315e-06
"4056",1.13428022949e-05,6.77396338832306e-06
"4057",8.43787313120671e-06,5.89180832201591e-06
"4058",1.20015145422715e-05,8.33902599904917e-06
"4059",1.40121839692283e-05,8.5884797435225e-06
"4060",1.24501503870028e-05,7.41437509519738e-06
"4061",1.45081146161489e-05,9.55166967299967e-06
"4062",6.05028134327656e-06,4.2841784218145e-06
"4063",1.22273533393639e-05,7.71370565993189e-06
